135.41	1030
135.43	868
135.44	1028
135.53	944
135.55	37
135.58	120
135.65	882
135.72	984
135.73	901
135.75	95
135.75	237
135.84	861
135.90	971
136.00	1012
136.01	951
136.03	121
136.11	840
136.17	967
136.18	996
136.18	1061
136.29	1023
136.35	1034
136.35	117
136.38	67
136.53	880
136.61	830
136.65	58
136.71	952
136.80	132
136.83	247
136.85	823
136.88	96
136.93	911
136.95	91
137.00	53
137.02	1070
137.03	72
137.03	886
137.07	820
137.09	948
137.12	933
137.13	197
137.14	1059
137.14	970
137.35	51
137.37	924
137.54	1035
137.65	64
137.65	70
137.68	947
137.71	879
137.74	1077
137.78	154
137.78	244
137.80	234
137.82	858
137.82	814
137.92	915
138.02	925
138.05	94
138.08	84
138.10	992
138.13	122
138.18	993
138.19	817
138.20	101
138.21	986
138.25	92
138.33	76
138.43	224
138.45	213
138.59	841
138.66	941
138.70	82
138.73	104
138.75	202
138.83	69
138.83	102
138.95	73
138.98	1039
138.99	899
139.00	1017
139.03	977
139.08	1021
139.10	65
139.13	48
139.18	8
139.33	57
139.36	1065
139.48	846
139.58	43
139.63	5
139.63	157
139.63	959
139.65	11
139.68	242
139.69	969
139.73	225
139.75	1
139.83	231
139.83	859
139.90	12
139.90	68
139.93	4
139.94	1078
140.00	86
140.04	935
140.08	89
140.10	22
140.13	245
140.15	246
140.16	912
140.17	982
140.20	1040
140.23	15
140.25	26
140.28	63
140.30	45
140.38	860
140.40	7
140.43	81
140.47	872
140.48	827
140.55	62
140.60	20
140.63	24
140.63	29
140.65	27
140.70	23
140.73	105
140.73	144
140.75	19
140.80	2
140.80	112
140.82	907
140.85	49
140.88	38
140.93	190
140.95	18
140.95	61
140.98	87
141.01	920
141.05	171
141.08	9
141.10	824
141.19	898
141.30	1010
141.32	896
141.34	936
141.44	849
141.57	950
141.63	186
141.69	812
141.71	910
141.83	838
141.87	1037
141.88	892
142.05	949
142.07	998
142.09	978
142.13	914
142.14	929
142.23	909
142.38	183
142.38	1058
142.51	1043
142.56	1064
142.64	1002
142.65	218
142.75	891
142.80	228
142.86	813
142.87	888
142.93	211
143.00	174
143.04	938
143.14	1015
143.18	207
143.19	919
143.22	889
143.25	175
143.34	928
143.43	220
143.43	1053
143.45	1008
143.50	252
143.50	1066
143.60	182
143.60	1006
143.83	1063
143.97	1072
143.98	240
144.01	850
144.13	238
144.14	937
144.24	855
144.39	991
144.45	832
144.49	904
144.50	829
144.59	819
144.68	1060
144.70	980
144.79	871
144.84	1032
145.25	233
145.26	902
145.30	867
145.34	1069
145.38	205
145.44	1020
145.60	257
145.68	983
